sale_id,order_id,customer_id,product_id,order_date,ship_date,ship_mode,sales,quantity,discount,profit,order_date_clean
US-2015-118983_14,US-2015-118983,HP-14815,"Office Supplies_Appliances_Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",11/22/2015,11/26/2015,"Standard Class",68.81,5,0.8,-123.858,2015-11-22
US-2015-118983_15,US-2015-118983,HP-14815,"Office Supplies_Binders_Storex DuraTech Recycled Plastic Frosted Binders",11/22/2015,11/26/2015,"Standard Class",2.544,3,0.8,-3.816,2015-11-22
CA-2014-105893_16,CA-2014-105893,PK-19075,"Office Supplies_Storage_Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D",11-11-2014,11/18/2014,"Standard Class",665.88,6,0,13.3176,2014-11-11
CA-2014-167164_17,CA-2014-167164,AG-10270,"Office Supplies_Storage_Fellowes Super Stor/Drawer",5/13/2014,5/15/2014,"Second Class",55.5,2,0,9.99,2014-05-13
CA-2014-143336_18,CA-2014-143336,ZD-21925,"Office Supplies_Art_Newell 341",8/27/2014,09-01-2014,"Second Class",8.56,2,0,2.4824,2014-08-27
CA-2014-143336_19,CA-2014-143336,ZD-21925,"Technology_Phones_Cisco SPA 501G IP Phone",8/27/2014,09-01-2014,"Second Class",213.48,3,0.2,16.011,2014-08-27
CA-2014-143336_20,CA-2014-143336,ZD-21925,"Office Supplies_Binders_Wilson Jones Hanging View Binder, White, 1"",8/27/2014,09-01-2014,"Second Class",22.72,4,0.2,7.384,2014-08-27
CA-2016-137330_21,CA-2016-137330,KB-16585,"Office Supplies_Art_Newell 318",12-09-2016,12/13/2016,"Standard Class",19.46,7,0,5.0596,2016-09-12
CA-2016-137330_22,CA-2016-137330,KB-16585,"Office Supplies_Appliances_Acco Six-Outlet Power Strip, 4' Cord Length",12-09-2016,12/13/2016,"Standard Class",60.34,7,0,15.6884,2016-09-12
US-2017-156909_23,US-2017-156909,SF-20065,"Furniture_Chairs_Global Deluxe Stacking Chair, Gray",7/16/2017,7/18/2017,"Second Class",71.372,2,0.3,-1.0196,2017-07-16
CA-2015-106320_24,CA-2015-106320,EB-13870,"Furniture_Tables_Bretford CR4500 Series Slim Rectangular Table",9/25/2015,9/30/2015,"Standard Class",1044.63,3,0,240.2649,2015-09-25
CA-2016-121755_25,CA-2016-121755,EH-13945,"Office Supplies_Binders_Wilson Jones Active Use Binders",1/16/2016,1/20/2016,"Second Class",11.648,2,0.2,4.2224,2016-01-16
CA-2016-121755_26,CA-2016-121755,EH-13945,"Technology_Accessories_Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",1/16/2016,1/20/2016,"Second Class",90.57,3,0,11.7741,2016-01-16
US-2015-150630_27,US-2015-150630,TB-21520,"Furniture_Bookcases_Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",9/17/2015,9/21/2015,"Standard Class",3083.43,7,0.5,-1665.0522,2015-09-17
US-2015-150630_28,US-2015-150630,TB-21520,"Office Supplies_Binders_Avery Recycled Flexi-View Covers for Binding Systems",9/17/2015,9/21/2015,"Standard Class",9.618,2,0.7,-7.0532,2015-09-17
US-2015-150630_29,US-2015-150630,TB-21520,"Furniture_Furnishings_Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",9/17/2015,9/21/2015,"Standard Class",124.2,3,0.2,15.525,2015-09-17
US-2015-150630_30,US-2015-150630,TB-21520,"Office Supplies_Envelopes_Poly String Tie Envelopes",9/17/2015,9/21/2015,"Standard Class",3.264,2,0.2,1.1016,2015-09-17
US-2015-150630_31,US-2015-150630,TB-21520,"Office Supplies_Art_BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9/17/2015,9/21/2015,"Standard Class",86.304,6,0.2,9.7092,2015-09-17
US-2015-150630_32,US-2015-150630,TB-21520,"Office Supplies_Binders_Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red",9/17/2015,9/21/2015,"Standard Class",6.858,6,0.7,-5.715,2015-09-17
US-2015-150630_33,US-2015-150630,TB-21520,"Office Supplies_Art_Lumber Crayons",9/17/2015,9/21/2015,"Standard Class",15.76,2,0.2,3.546,2015-09-17
CA-2017-107727_34,CA-2017-107727,MA-17560,"Office Supplies_Paper_Easy-staple paper",10/19/2017,10/23/2017,"Second Class",29.472,3,0.2,9.9468,2017-10-19
CA-2016-117590_35,CA-2016-117590,GH-14485,"Technology_Phones_GE 30524EE4",12-08-2016,12-10-2016,"First Class",1097.544,7,0.2,123.4737,2016-08-12
CA-2016-117590_36,CA-2016-117590,GH-14485,"Furniture_Furnishings_Electrix Architect's Clamp-On Swing Arm Lamp, Black",12-08-2016,12-10-2016,"First Class",190.92,5,0.6,-147.963,2016-08-12
CA-2015-117415_37,CA-2015-117415,SN-20710,"Office Supplies_Envelopes_#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes",12/27/2015,12/31/2015,"Standard Class",113.328,9,0.2,35.415,2015-12-27
CA-2015-117415_38,CA-2015-117415,SN-20710,"Furniture_Bookcases_Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",12/27/2015,12/31/2015,"Standard Class",532.3992,3,0.32,-46.9764,2015-12-27
CA-2015-117415_39,CA-2015-117415,SN-20710,"Furniture_Chairs_Global Fabric Manager's Chair, Dark Gray",12/27/2015,12/31/2015,"Standard Class",212.058,3,0.3,-15.147,2015-12-27
CA-2015-117415_40,CA-2015-117415,SN-20710,"Technology_Phones_Plantronics HL10 Handset Lifter",12/27/2015,12/31/2015,"Standard Class",371.168,4,0.2,41.7564,2015-12-27
CA-2017-120999_41,CA-2017-120999,LC-16930,"Technology_Phones_Panasonic Kx-TS550",09-10-2017,9/15/2017,"Standard Class",147.168,4,0.2,16.5564,2017-10-09
CA-2016-101343_42,CA-2016-101343,RA-19885,"Office Supplies_Storage_Eldon Base for stackable storage shelf, platinum",7/17/2016,7/22/2016,"Standard Class",77.88,2,0,3.894,2016-07-17
CA-2017-139619_43,CA-2017-139619,ES-14080,"Office Supplies_Storage_Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9/19/2017,9/23/2017,"Standard Class",95.616,2,0.2,9.5616,2017-09-19
CA-2016-118255_44,CA-2016-118255,ON-18715,"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",03-11-2016,3/13/2016,"First Class",45.98,2,0,19.7714,2016-11-03
CA-2016-118255_45,CA-2016-118255,ON-18715,"Office Supplies_Binders_Wilson Jones Leather-Like Binders with DublLock Round Rings",03-11-2016,3/13/2016,"First Class",17.46,2,0,8.2062,2016-11-03
CA-2014-146703_46,CA-2014-146703,PO-18865,"Office Supplies_Storage_Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",10/20/2014,10/25/2014,"Second Class",211.96,4,0,8.4784,2014-10-20
CA-2016-169194_47,CA-2016-169194,LH-16900,"Technology_Accessories_Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",6/20/2016,6/25/2016,"Standard Class",45,3,0,4.95,2016-06-20
CA-2016-169194_48,CA-2016-169194,LH-16900,"Technology_Phones_LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6/20/2016,6/25/2016,"Standard Class",21.8,2,0,6.104,2016-06-20
CA-2015-115742_49,CA-2015-115742,DP-13000,"Office Supplies_Binders_C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4/18/2015,4/22/2015,"Standard Class",38.22,6,0,17.9634,2015-04-18
CA-2015-115742_50,CA-2015-115742,DP-13000,"Office Supplies_Labels_Avery 485",4/18/2015,4/22/2015,"Standard Class",75.18,6,0,35.3346,2015-04-18
CA-2015-115742_51,CA-2015-115742,DP-13000,"Furniture_Furnishings_Longer-Life Soft White Bulbs",4/18/2015,4/22/2015,"Standard Class",6.16,2,0,2.9568,2015-04-18
CA-2015-115742_52,CA-2015-115742,DP-13000,"Furniture_Chairs_Global Leather Task Chair, Black",4/18/2015,4/22/2015,"Standard Class",89.99,1,0,17.0981,2015-04-18
CA-2016-105816_53,CA-2016-105816,JM-15265,"Office Supplies_Fasteners_Advantus Push Pins",12-11-2016,12/17/2016,"Standard Class",15.26,7,0,6.2566,2016-11-12
CA-2016-105816_54,CA-2016-105816,JM-15265,"Technology_Phones_AT&T CL83451 4-Handset Telephone",12-11-2016,12/17/2016,"Standard Class",1029.95,5,0,298.6855,2016-11-12
CA-2016-111682_55,CA-2016-111682,TB-21055,"Office Supplies_Storage_Home/Office Personal File Carts",6/17/2016,6/18/2016,"First Class",208.56,6,0,52.14,2016-06-17
CA-2016-111682_56,CA-2016-111682,TB-21055,"Office Supplies_Paper_Xerox 232",6/17/2016,6/18/2016,"First Class",32.4,5,0,15.552,2016-06-17
CA-2016-111682_57,CA-2016-111682,TB-21055,"Furniture_Chairs_Novimex Turbo Task Chair",6/17/2016,6/18/2016,"First Class",319.41,5,0.1,7.098,2016-06-17
CA-2016-111682_58,CA-2016-111682,TB-21055,"Office Supplies_Paper_Array Parchment Paper, Assorted Colors",6/17/2016,6/18/2016,"First Class",14.56,2,0,6.9888,2016-06-17
CA-2016-111682_59,CA-2016-111682,TB-21055,"Technology_Accessories_Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",6/17/2016,6/18/2016,"First Class",30,2,0,3.3,2016-06-17
CA-2016-111682_60,CA-2016-111682,TB-21055,"Office Supplies_Binders_Plastic Binding Combs",6/17/2016,6/18/2016,"First Class",48.48,4,0.2,16.362,2016-06-17
CA-2016-111682_61,CA-2016-111682,TB-21055,"Office Supplies_Art_Prang Dustless Chalk Sticks",6/17/2016,6/18/2016,"First Class",1.68,1,0,0.84,2016-06-17
CA-2015-135545_62,CA-2015-135545,KM-16720,"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",11/24/2015,11/30/2015,"Standard Class",13.98,2,0,6.1512,2015-11-24
CA-2015-135545_63,CA-2015-135545,KM-16720,"Office Supplies_Binders_Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"",11/24/2015,11/30/2015,"Standard Class",25.824,6,0.2,9.3612,2015-11-24
CA-2015-135545_64,CA-2015-135545,KM-16720,"Office Supplies_Paper_Xerox 1943",11/24/2015,11/30/2015,"Standard Class",146.73,3,0,68.9631,2015-11-24
CA-2015-135545_65,CA-2015-135545,KM-16720,"Furniture_Furnishings_Luxo Economy Swing Arm Lamp",11/24/2015,11/30/2015,"Standard Class",79.76,4,0,22.3328,2015-11-24
US-2015-164175_66,US-2015-164175,PS-18970,"Furniture_Chairs_Global Value Mid-Back Manager's Chair, Gray",4/30/2015,05-05-2015,"Standard Class",213.115,5,0.3,-15.2225,2015-04-30
CA-2014-106376_67,CA-2014-106376,BS-11590,"Office Supplies_Art_Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",12-05-2014,12-10-2014,"Standard Class",1113.024,8,0.2,111.3024,2014-05-12
CA-2014-106376_68,CA-2014-106376,BS-11590,"Technology_Phones_netTALK DUO VoIP Telephone Service",12-05-2014,12-10-2014,"Standard Class",167.968,4,0.2,62.988,2014-05-12
CA-2016-119823_69,CA-2016-119823,KD-16270,"Office Supplies_Paper_Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",06-04-2016,06-06-2016,"First Class",75.88,2,0,35.6636,2016-04-06
CA-2016-106075_70,CA-2016-106075,HM-14980,"Office Supplies_Binders_Avery Binding System Hidden Tab Executive Style Index Sets",9/18/2016,9/23/2016,"Standard Class",4.616,1,0.2,1.731,2016-09-18
CA-2017-114440_71,CA-2017-114440,TB-21520,"Office Supplies_Paper_Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"",9/14/2017,9/17/2017,"Second Class",19.05,3,0,8.763,2017-09-14
US-2015-134026_72,US-2015-134026,JE-15745,"Furniture_Chairs_High-Back Leather Manager's Chair",4/26/2015,05-02-2015,"Standard Class",831.936,8,0.2,-114.3912,2015-04-26
US-2015-134026_73,US-2015-134026,JE-15745,"Furniture_Furnishings_Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"",4/26/2015,05-02-2015,"Standard Class",97.04,2,0.2,1.213,2015-04-26
US-2015-134026_74,US-2015-134026,JE-15745,"Office Supplies_Storage_Safco Industrial Wire Shelving System",4/26/2015,05-02-2015,"Standard Class",72.784,1,0.2,-18.196,2015-04-26
US-2017-118038_75,US-2017-118038,KB-16600,"Office Supplies_Binders_Economy Binders",12-09-2017,12-11-2017,"First Class",1.248,3,0.8,-1.9344,2017-09-12
US-2017-118038_76,US-2017-118038,KB-16600,"Furniture_Furnishings_6" Cubicle Wall Clock, Black",12-09-2017,12-11-2017,"First Class",9.708,3,0.6,-5.8248,2017-09-12
US-2017-118038_77,US-2017-118038,KB-16600,"Office Supplies_Storage_SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",12-09-2017,12-11-2017,"First Class",27.24,3,0.2,2.724,2017-09-12
US-2014-147606_78,US-2014-147606,JE-15745,"Furniture_Furnishings_Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",11/26/2014,12-01-2014,"Second Class",19.3,5,0.6,-14.475,2014-11-26
CA-2016-127208_79,CA-2016-127208,SC-20770,"Office Supplies_Appliances_1.7 Cubic Foot Compact "Cube" Office Refrigerators",06-12-2016,6/15/2016,"First Class",208.16,1,0,56.2032,2016-12-06
CA-2016-127208_80,CA-2016-127208,SC-20770,"Office Supplies_Binders_Avery Heavy-Duty EZD  Binder With Locking Rings",06-12-2016,6/15/2016,"First Class",16.74,3,0,8.0352,2016-12-06
CA-2014-139451_81,CA-2014-139451,DN-13690,"Office Supplies_Art_Premium Writing Pencils, Soft, #2 by Central Association for the Blind",10-12-2014,10/16/2014,"Standard Class",14.9,5,0,4.172,2014-12-10
CA-2014-139451_82,CA-2014-139451,DN-13690,"Office Supplies_Storage_Sortfiler Multipurpose Personal File Organizer, Black",10-12-2014,10/16/2014,"Standard Class",21.39,1,0,6.2031,2014-12-10
CA-2015-149734_83,CA-2015-149734,JC-16105,"Office Supplies_Envelopes_Jet-Pak Recycled Peel 'N' Seal Padded Mailers",09-03-2015,09-08-2015,"Standard Class",200.984,7,0.2,62.8075,2015-03-09
US-2017-119662_84,US-2017-119662,CS-12400,"Office Supplies_Storage_Safco Industrial Wire Shelving",11/13/2017,11/16/2017,"First Class",230.376,3,0.2,-48.9549,2017-11-13
CA-2017-140088_85,CA-2017-140088,PO-18865,"Furniture_Chairs_Novimex Swivel Fabric Task Chair",5/28/2017,5/30/2017,"Second Class",301.96,2,0,33.2156,2017-05-28
CA-2017-155558_86,CA-2017-155558,PG-18895,"Technology_Accessories_Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",10/26/2017,11-02-2017,"Standard Class",19.99,1,0,6.7966,2017-10-26
CA-2017-155558_87,CA-2017-155558,PG-18895,"Office Supplies_Labels_Avery 511",10/26/2017,11-02-2017,"Standard Class",6.16,2,0,2.9568,2017-10-26
CA-2016-159695_88,CA-2016-159695,GM-14455,"Office Supplies_Storage_Eldon Portable Mobile Manager",04-05-2016,04-10-2016,"Second Class",158.368,7,0.2,13.8572,2016-05-04
CA-2016-109806_89,CA-2016-109806,JS-15685,"Office Supplies_Art_Turquoise Lead Holder with Pocket Clip",9/17/2016,9/22/2016,"Standard Class",20.1,3,0,6.633,2016-09-17
CA-2016-109806_90,CA-2016-109806,JS-15685,"Technology_Phones_Panasonic Kx-TS550",9/17/2016,9/22/2016,"Standard Class",73.584,2,0.2,8.2782,2016-09-17
CA-2016-109806_91,CA-2016-109806,JS-15685,"Office Supplies_Paper_Xerox 1995",9/17/2016,9/22/2016,"Standard Class",6.48,1,0,3.1104,2016-09-17
CA-2015-149587_92,CA-2015-149587,KB-16315,"Office Supplies_Paper_Xerox 1999",1/31/2015,02-05-2015,"Second Class",12.96,2,0,6.2208,2015-01-31
CA-2015-149587_93,CA-2015-149587,KB-16315,"Furniture_Furnishings_Seth Thomas 13 1/2" Wall Clock",1/31/2015,02-05-2015,"Second Class",53.34,3,0,16.5354,2015-01-31
CA-2015-149587_94,CA-2015-149587,KB-16315,"Office Supplies_Binders_Ibico Standard Transparent Covers",1/31/2015,02-05-2015,"Second Class",32.96,2,0,16.1504,2015-01-31
US-2017-109484_95,US-2017-109484,RB-19705,"Office Supplies_Binders_Flexible Leather- Look Classic Collection Ring Binder",11-06-2017,11-12-2017,"Standard Class",5.682,1,0.7,-3.788,2017-06-11
CA-2017-161018_96,CA-2017-161018,PN-18775,"Furniture_Furnishings_9-3/4 Diameter Round Wall Clock",11-09-2017,11-11-2017,"Second Class",96.53,7,0,40.5426,2017-09-11
CA-2017-157833_97,CA-2017-157833,KD-16345,"Office Supplies_Binders_Trimflex Flexible Post Binders",6/17/2017,6/20/2017,"First Class",51.312,3,0.2,17.9592,2017-06-17
CA-2016-149223_98,CA-2016-149223,ER-13855,"Office Supplies_Appliances_Fellowes Basic Home/Office Series Surge Protectors",09-06-2016,09-11-2016,"Standard Class",77.88,6,0,22.5852,2016-06-09
CA-2016-158568_99,CA-2016-158568,RB-19465,"Office Supplies_Paper_Avery Personal Creations Heavyweight Cards",8/29/2016,09-02-2016,"Standard Class",64.624,7,0.2,22.6184,2016-08-29
CA-2016-158568_100,CA-2016-158568,RB-19465,"Technology_Accessories_SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",8/29/2016,09-02-2016,"Standard Class",95.976,3,0.2,-10.7973,2016-08-29
CA-2016-158568_101,CA-2016-158568,RB-19465,"Office Supplies_Binders_Avery Hidden Tab Dividers for Binding Systems",8/29/2016,09-02-2016,"Standard Class",1.788,3,0.8,-3.0396,2016-08-29
CA-2016-129903_102,CA-2016-129903,GZ-14470,"Office Supplies_Paper_Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",12-01-2016,12-04-2016,"Second Class",23.92,4,0,11.7208,2016-01-12
US-2015-156867_103,US-2015-156867,LC-16870,"Technology_Accessories_Logitech K350 2.4Ghz Wireless Keyboard",11/13/2015,11/17/2015,"Standard Class",238.896,6,0.2,-26.8758,2015-11-13
US-2015-156867_104,US-2015-156867,LC-16870,"Furniture_Furnishings_Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",11/13/2015,11/17/2015,"Standard Class",102.36,3,0.2,-3.8385,2015-11-13
US-2015-156867_105,US-2015-156867,LC-16870,"Office Supplies_Binders_Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets",11/13/2015,11/17/2015,"Standard Class",36.882,3,0.7,-25.8174,2015-11-13
CA-2017-119004_106,CA-2017-119004,JM-15250,"Technology_Accessories_Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",11/23/2017,11/28/2017,"Standard Class",74.112,8,0.2,17.6016,2017-11-23
CA-2017-119004_107,CA-2017-119004,JM-15250,"Technology_Phones_Speck Products Candyshell Flip Case",11/23/2017,11/28/2017,"Standard Class",27.992,1,0.2,2.0994,2017-11-23
CA-2017-119004_108,CA-2017-119004,JM-15250,"Office Supplies_Art_Newell Chalk Holder",11/23/2017,11/28/2017,"Standard Class",3.304,1,0.2,1.0738,2017-11-23
CA-2015-129476_109,CA-2015-129476,PA-19060,"Technology_Accessories_Logitech Gaming G510s - Keyboard",10/15/2015,10/20/2015,"Standard Class",339.96,5,0.2,67.992,2015-10-15
CA-2017-146780_110,CA-2017-146780,CV-12805,"Furniture_Furnishings_Magnifier Swing Arm Lamp",12/25/2017,12/30/2017,"Standard Class",41.96,2,0,10.9096,2017-12-25
CA-2016-128867_111,CA-2016-128867,CL-12565,"Office Supplies_Art_Hunt PowerHouse Electric Pencil Sharpener, Blue",11-03-2016,11-10-2016,"Standard Class",75.96,2,0,22.788,2016-03-11
CA-2016-128867_112,CA-2016-128867,CL-12565,"Office Supplies_Binders_Avery Durable Plastic 1" Binders",11-03-2016,11-10-2016,"Standard Class",27.24,6,0,13.3476,2016-03-11
CA-2014-115259_113,CA-2014-115259,RC-19960,"Office Supplies_Fasteners_OIC Colored Binder Clips, Assorted Sizes",8/25/2014,8/27/2014,"Second Class",40.096,14,0.2,14.5348,2014-08-25
CA-2014-115259_114,CA-2014-115259,RC-19960,"Office Supplies_Envelopes_Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",8/25/2014,8/27/2014,"Second Class",4.72,2,0.2,1.652,2014-08-25
CA-2014-115259_115,CA-2014-115259,RC-19960,"Office Supplies_Paper_Xerox 1921",8/25/2014,8/27/2014,"Second Class",23.976,3,0.2,7.4925,2014-08-25
CA-2014-115259_116,CA-2014-115259,RC-19960,"Office Supplies_Envelopes_Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",8/25/2014,8/27/2014,"Second Class",130.464,6,0.2,44.0316,2014-08-25
CA-2015-110457_117,CA-2015-110457,DK-13090,"Furniture_Tables_Hon Racetrack Conference Tables",03-02-2015,03-06-2015,"Standard Class",787.53,3,0,165.3813,2015-02-03
US-2015-136476_118,US-2015-136476,GG-14650,"Office Supplies_Binders_GBC DocuBind 300 Electric Binding Machine",04-05-2015,04-10-2015,"Standard Class",157.794,1,0.7,-115.7156,2015-05-04
CA-2016-103730_119,CA-2016-103730,SC-20725,"Furniture_Furnishings_Artistic Insta-Plaque",06-12-2016,6/15/2016,"First Class",47.04,3,0,18.3456,2016-12-06
CA-2016-103730_120,CA-2016-103730,SC-20725,"Office Supplies_Binders_DXL Angle-View Binders with Locking Rings by Samsill",06-12-2016,6/15/2016,"First Class",30.84,4,0,13.878,2016-12-06
CA-2016-103730_121,CA-2016-103730,SC-20725,"Office Supplies_Storage_Companion Letter/Legal File, Black",06-12-2016,6/15/2016,"First Class",226.56,6,0,63.4368,2016-12-06
CA-2016-103730_122,CA-2016-103730,SC-20725,"Office Supplies_Envelopes_Globe Weis Peel & Seel First Class Envelopes",06-12-2016,6/15/2016,"First Class",115.02,9,0,51.759,2016-12-06
CA-2016-103730_123,CA-2016-103730,SC-20725,"Technology_Phones_KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",06-12-2016,6/15/2016,"First Class",68.04,7,0,19.7316,2016-12-06
US-2014-152030_124,US-2014-152030,AD-10180,"Furniture_Chairs_Global Deluxe High-Back Manager's Chair",12/26/2014,12/28/2014,"Second Class",600.558,3,0.3,-8.5794,2014-12-26
US-2014-134614_125,US-2014-134614,PF-19165,"Furniture_Tables_Bevis 44 x 96 Conference Tables",9/20/2014,9/25/2014,"Standard Class",617.7,6,0.5,-407.682,2014-09-20
US-2017-107272_126,US-2017-107272,TS-21610,"Office Supplies_Binders_Avery Durable Slant Ring Binders, No Labels",11-05-2017,11-12-2017,"Standard Class",2.388,2,0.7,-1.8308,2017-05-11
US-2017-107272_127,US-2017-107272,TS-21610,"Office Supplies_Storage_Trav-L-File Heavy-Duty Shuttle II, Black",11-05-2017,11-12-2017,"Standard Class",243.992,7,0.2,30.499,2017-05-11
US-2016-125969_128,US-2016-125969,LS-16975,"Furniture_Chairs_Global Task Chair, Black",11-06-2016,11-10-2016,"Second Class",81.424,2,0.2,-9.1602,2016-06-11
US-2016-125969_129,US-2016-125969,LS-16975,"Furniture_Furnishings_Eldon Cleatmat Plus Chair Mats for High Pile Carpets",11-06-2016,11-10-2016,"Second Class",238.56,3,0,26.2416,2016-06-11
US-2017-164147_130,US-2017-164147,DW-13585,"Technology_Phones_Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",02-02-2017,02-05-2017,"First Class",59.97,5,0.4,-11.994,2017-02-02
US-2017-164147_131,US-2017-164147,DW-13585,"Office Supplies_Paper_Xerox 1916",02-02-2017,02-05-2017,"First Class",78.304,2,0.2,29.364,2017-02-02
US-2017-164147_132,US-2017-164147,DW-13585,"Office Supplies_Fasteners_Staples",02-02-2017,02-05-2017,"First Class",21.456,9,0.2,6.9732,2017-02-02
CA-2016-145583_133,CA-2016-145583,LC-16885,"Office Supplies_Paper_Xerox 195",10/13/2016,10/19/2016,"Standard Class",20.04,3,0,9.6192,2016-10-13
CA-2016-145583_134,CA-2016-145583,LC-16885,"Office Supplies_Paper_Xerox 1880",10/13/2016,10/19/2016,"Standard Class",35.44,1,0,16.6568,2016-10-13
CA-2016-145583_135,CA-2016-145583,LC-16885,"Office Supplies_Art_Sanford Colorific Colored Pencils, 12/Box",10/13/2016,10/19/2016,"Standard Class",11.52,4,0,3.456,2016-10-13
CA-2016-145583_136,CA-2016-145583,LC-16885,"Office Supplies_Fasteners_Ideal Clamps",10/13/2016,10/19/2016,"Standard Class",4.02,2,0,1.9698,2016-10-13
CA-2016-145583_137,CA-2016-145583,LC-16885,"Office Supplies_Binders_GBC Wire Binding Strips",10/13/2016,10/19/2016,"Standard Class",76.176,3,0.2,26.6616,2016-10-13
