product_id,category,sub_category,product_name
"Office Supplies_Art_Newell 341","Office Supplies",Art,"Newell 341"
"Technology_Phones_Cisco SPA 501G IP Phone",Technology,Phones,"Cisco SPA 501G IP Phone"
"Office Supplies_Binders_Wilson Jones Hanging View Binder, White, 1"","Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1""
"Office Supplies_Art_Newell 318","Office Supplies",Art,"Newell 318"
"Office Supplies_Appliances_Acco Six-Outlet Power Strip, 4' Cord Length","Office Supplies",Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
"Furniture_Chairs_Global Deluxe Stacking Chair, Gray",Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
"Office Supplies_Binders_Wilson Jones Active Use Binders","Office Supplies",Binders,"Wilson Jones Active Use Binders"
"Technology_Accessories_Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive"
"Furniture_Bookcases_Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
"Office Supplies_Binders_Avery Recycled Flexi-View Covers for Binding Systems","Office Supplies",Binders,"Avery Recycled Flexi-View Covers for Binding Systems"
"Furniture_Furnishings_Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"
"Office Supplies_Envelopes_Poly String Tie Envelopes","Office Supplies",Envelopes,"Poly String Tie Envelopes"
"Office Supplies_Art_BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Office Supplies",Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
"Office Supplies_Binders_Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red","Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red"
"Office Supplies_Art_Lumber Crayons","Office Supplies",Art,"Lumber Crayons"
"Office Supplies_Paper_Easy-staple paper","Office Supplies",Paper,"Easy-staple paper"
"Technology_Phones_GE 30524EE4",Technology,Phones,"GE 30524EE4"
"Furniture_Furnishings_Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
"Office Supplies_Envelopes_#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes","Office Supplies",Envelopes,"#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes"
"Furniture_Bookcases_Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
"Furniture_Chairs_Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
"Technology_Phones_Plantronics HL10 Handset Lifter",Technology,Phones,"Plantronics HL10 Handset Lifter"
"Technology_Phones_Panasonic Kx-TS550",Technology,Phones,"Panasonic Kx-TS550"
"Office Supplies_Storage_Eldon Base for stackable storage shelf, platinum","Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum"
"Office Supplies_Storage_Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
"Office Supplies_Binders_Wilson Jones Leather-Like Binders with DublLock Round Rings","Office Supplies",Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings"
"Office Supplies_Storage_Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","Office Supplies",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
"Technology_Accessories_Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive"
"Technology_Phones_LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
"Office Supplies_Binders_C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","Office Supplies",Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
"Office Supplies_Labels_Avery 485","Office Supplies",Labels,"Avery 485"
"Furniture_Furnishings_Longer-Life Soft White Bulbs",Furniture,Furnishings,"Longer-Life Soft White Bulbs"
"Furniture_Chairs_Global Leather Task Chair, Black",Furniture,Chairs,"Global Leather Task Chair, Black"
"Office Supplies_Fasteners_Advantus Push Pins","Office Supplies",Fasteners,"Advantus Push Pins"
"Technology_Phones_AT&T CL83451 4-Handset Telephone",Technology,Phones,"AT&T CL83451 4-Handset Telephone"
"Office Supplies_Storage_Home/Office Personal File Carts","Office Supplies",Storage,"Home/Office Personal File Carts"
"Office Supplies_Paper_Xerox 232","Office Supplies",Paper,"Xerox 232"
"Furniture_Chairs_Novimex Turbo Task Chair",Furniture,Chairs,"Novimex Turbo Task Chair"
"Office Supplies_Paper_Array Parchment Paper, Assorted Colors","Office Supplies",Paper,"Array Parchment Paper, Assorted Colors"
"Office Supplies_Binders_Plastic Binding Combs","Office Supplies",Binders,"Plastic Binding Combs"
"Office Supplies_Art_Prang Dustless Chalk Sticks","Office Supplies",Art,"Prang Dustless Chalk Sticks"
"Technology_Accessories_Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
"Office Supplies_Binders_Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"","Office Supplies",Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11""
"Office Supplies_Paper_Xerox 1943","Office Supplies",Paper,"Xerox 1943"
"Furniture_Furnishings_Luxo Economy Swing Arm Lamp",Furniture,Furnishings,"Luxo Economy Swing Arm Lamp"
"Furniture_Chairs_Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
"Office Supplies_Art_Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","Office Supplies",Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
"Technology_Phones_netTALK DUO VoIP Telephone Service",Technology,Phones,"netTALK DUO VoIP Telephone Service"
"Office Supplies_Paper_Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","Office Supplies",Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
"Office Supplies_Binders_Avery Binding System Hidden Tab Executive Style Index Sets","Office Supplies",Binders,"Avery Binding System Hidden Tab Executive Style Index Sets"
"Office Supplies_Paper_Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"","Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16""
"Furniture_Chairs_High-Back Leather Manager's Chair",Furniture,Chairs,"High-Back Leather Manager's Chair"
"Furniture_Furnishings_Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"",Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48""
"Office Supplies_Storage_Safco Industrial Wire Shelving System","Office Supplies",Storage,"Safco Industrial Wire Shelving System"
"Office Supplies_Binders_Economy Binders","Office Supplies",Binders,"Economy Binders"
"Furniture_Furnishings_6" Cubicle Wall Clock, Black",Furniture,Furnishings,"6" Cubicle Wall Clock, Black"
"Office Supplies_Storage_SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
"Furniture_Furnishings_Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
"Office Supplies_Appliances_1.7 Cubic Foot Compact "Cube" Office Refrigerators","Office Supplies",Appliances,"1.7 Cubic Foot Compact "Cube" Office Refrigerators"
"Office Supplies_Binders_Avery Heavy-Duty EZD  Binder With Locking Rings","Office Supplies",Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings"
"Office Supplies_Art_Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Office Supplies",Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
"Office Supplies_Storage_Sortfiler Multipurpose Personal File Organizer, Black","Office Supplies",Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
"Office Supplies_Envelopes_Jet-Pak Recycled Peel 'N' Seal Padded Mailers","Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers"
"Office Supplies_Storage_Safco Industrial Wire Shelving","Office Supplies",Storage,"Safco Industrial Wire Shelving"
"Furniture_Chairs_Novimex Swivel Fabric Task Chair",Furniture,Chairs,"Novimex Swivel Fabric Task Chair"
"Technology_Accessories_Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired"
"Office Supplies_Labels_Avery 511","Office Supplies",Labels,"Avery 511"
"Office Supplies_Storage_Eldon Portable Mobile Manager","Office Supplies",Storage,"Eldon Portable Mobile Manager"
"Office Supplies_Art_Turquoise Lead Holder with Pocket Clip","Office Supplies",Art,"Turquoise Lead Holder with Pocket Clip"
"Office Supplies_Paper_Xerox 1995","Office Supplies",Paper,"Xerox 1995"
"Office Supplies_Paper_Xerox 1999","Office Supplies",Paper,"Xerox 1999"
"Furniture_Furnishings_Seth Thomas 13 1/2" Wall Clock",Furniture,Furnishings,"Seth Thomas 13 1/2" Wall Clock"
"Office Supplies_Binders_Ibico Standard Transparent Covers","Office Supplies",Binders,"Ibico Standard Transparent Covers"
"Office Supplies_Binders_Flexible Leather- Look Classic Collection Ring Binder","Office Supplies",Binders,"Flexible Leather- Look Classic Collection Ring Binder"
"Furniture_Furnishings_9-3/4 Diameter Round Wall Clock",Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock"
"Office Supplies_Binders_Trimflex Flexible Post Binders","Office Supplies",Binders,"Trimflex Flexible Post Binders"
"Office Supplies_Appliances_Fellowes Basic Home/Office Series Surge Protectors","Office Supplies",Appliances,"Fellowes Basic Home/Office Series Surge Protectors"
"Office Supplies_Paper_Avery Personal Creations Heavyweight Cards","Office Supplies",Paper,"Avery Personal Creations Heavyweight Cards"
"Technology_Accessories_SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",Technology,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card"
"Office Supplies_Binders_Avery Hidden Tab Dividers for Binding Systems","Office Supplies",Binders,"Avery Hidden Tab Dividers for Binding Systems"
"Office Supplies_Paper_Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","Office Supplies",Paper,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)"
"Technology_Accessories_Logitech K350 2.4Ghz Wireless Keyboard",Technology,Accessories,"Logitech K350 2.4Ghz Wireless Keyboard"
"Furniture_Furnishings_Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
"Office Supplies_Binders_Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets","Office Supplies",Binders,"Avery Trapezoid Ring Binder, 3" Capacity, Black, 1040 sheets"
"Technology_Accessories_Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",Technology,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive"
"Technology_Phones_Speck Products Candyshell Flip Case",Technology,Phones,"Speck Products Candyshell Flip Case"
"Office Supplies_Art_Newell Chalk Holder","Office Supplies",Art,"Newell Chalk Holder"
"Technology_Accessories_Logitech Gaming G510s - Keyboard",Technology,Accessories,"Logitech Gaming G510s - Keyboard"
"Furniture_Furnishings_Magnifier Swing Arm Lamp",Furniture,Furnishings,"Magnifier Swing Arm Lamp"
"Office Supplies_Art_Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies",Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
"Office Supplies_Binders_Avery Durable Plastic 1" Binders","Office Supplies",Binders,"Avery Durable Plastic 1" Binders"
"Office Supplies_Fasteners_OIC Colored Binder Clips, Assorted Sizes","Office Supplies",Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
"Office Supplies_Envelopes_Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","Office Supplies",Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
"Office Supplies_Paper_Xerox 1921","Office Supplies",Paper,"Xerox 1921"
"Office Supplies_Envelopes_Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","Office Supplies",Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
"Furniture_Tables_Hon Racetrack Conference Tables",Furniture,Tables,"Hon Racetrack Conference Tables"
"Office Supplies_Binders_GBC DocuBind 300 Electric Binding Machine","Office Supplies",Binders,"GBC DocuBind 300 Electric Binding Machine"
"Furniture_Furnishings_Artistic Insta-Plaque",Furniture,Furnishings,"Artistic Insta-Plaque"
"Office Supplies_Storage_Companion Letter/Legal File, Black","Office Supplies",Storage,"Companion Letter/Legal File, Black"
"Office Supplies_Envelopes_Globe Weis Peel & Seel First Class Envelopes","Office Supplies",Envelopes,"Globe Weis Peel & Seel First Class Envelopes"
"Technology_Phones_KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",Technology,Phones,"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7"
"Furniture_Chairs_Global Deluxe High-Back Manager's Chair",Furniture,Chairs,"Global Deluxe High-Back Manager's Chair"
"Furniture_Tables_Bevis 44 x 96 Conference Tables",Furniture,Tables,"Bevis 44 x 96 Conference Tables"
"Office Supplies_Binders_Avery Durable Slant Ring Binders, No Labels","Office Supplies",Binders,"Avery Durable Slant Ring Binders, No Labels"
"Office Supplies_Storage_Trav-L-File Heavy-Duty Shuttle II, Black","Office Supplies",Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
"Furniture_Chairs_Global Task Chair, Black",Furniture,Chairs,"Global Task Chair, Black"
"Furniture_Furnishings_Eldon Cleatmat Plus Chair Mats for High Pile Carpets",Furniture,Furnishings,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets"
"Technology_Phones_Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",Technology,Phones,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5"
"Office Supplies_Paper_Xerox 1916","Office Supplies",Paper,"Xerox 1916"
"Office Supplies_Fasteners_Staples","Office Supplies",Fasteners,Staples
"Office Supplies_Paper_Xerox 195","Office Supplies",Paper,"Xerox 195"
"Office Supplies_Paper_Xerox 1880","Office Supplies",Paper,"Xerox 1880"
"Office Supplies_Art_Sanford Colorific Colored Pencils, 12/Box","Office Supplies",Art,"Sanford Colorific Colored Pencils, 12/Box"
"Office Supplies_Fasteners_Ideal Clamps","Office Supplies",Fasteners,"Ideal Clamps"
"Office Supplies_Binders_GBC Wire Binding Strips","Office Supplies",Binders,"GBC Wire Binding Strips"
"Office Supplies_Supplies_Fiskars Softgrip Scissors","Office Supplies",Supplies,"Fiskars Softgrip Scissors"
"Office Supplies_Art_Newell 343","Office Supplies",Art,"Newell 343"
"Office Supplies_Envelopes_Convenience Packs of Business Envelopes","Office Supplies",Envelopes,"Convenience Packs of Business Envelopes"
"Office Supplies_Paper_Xerox 1911","Office Supplies",Paper,"Xerox 1911"
"Office Supplies_Appliances_Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","Office Supplies",Appliances,"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators"
"Furniture_Furnishings_Seth Thomas 14" Putty-Colored Wall Clock",Furniture,Furnishings,"Seth Thomas 14" Putty-Colored Wall Clock"
"Technology_Phones_Plantronics Cordless Phone Headset with In-line Volume - M214C",Technology,Phones,"Plantronics Cordless Phone Headset with In-line Volume - M214C"
"Technology_Phones_Anker Astro 15000mAh USB Portable Charger",Technology,Phones,"Anker Astro 15000mAh USB Portable Charger"
"Office Supplies_Binders_GBC Prestige Therm-A-Bind Covers","Office Supplies",Binders,"GBC Prestige Therm-A-Bind Covers"
"Office Supplies_Appliances_Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection","Office Supplies",Appliances,"Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection"
"Technology_Phones_Jabra BIZ 2300 Duo QD Duo Corded Headset",Technology,Phones,"Jabra BIZ 2300 Duo QD Duo Corded Headset"
"Office Supplies_Paper_Southworth 25% Cotton Antique Laid Paper & Envelopes","Office Supplies",Paper,"Southworth 25% Cotton Antique Laid Paper & Envelopes"
"Office Supplies_Paper_Xerox 1883","Office Supplies",Paper,"Xerox 1883"
"Office Supplies_Storage_Tenex Personal Project File with Scoop Front Design, Black","Office Supplies",Storage,"Tenex Personal Project File with Scoop Front Design, Black"
"Office Supplies_Art_Newell 311","Office Supplies",Art,"Newell 311"
"Office Supplies_Labels_Avery 519","Office Supplies",Labels,"Avery 519"
"Technology_Phones_Avaya 5420 Digital phone",Technology,Phones,"Avaya 5420 Digital phone"
"Office Supplies_Paper_Xerox 1920","Office Supplies",Paper,"Xerox 1920"
"Technology_Accessories_Lenovo 17-Key USB Numeric Keypad",Technology,Accessories,"Lenovo 17-Key USB Numeric Keypad"
"Office Supplies_Envelopes_Staple envelope","Office Supplies",Envelopes,"Staple envelope"
"Office Supplies_Binders_Wilson Jones International Size A4 Ring Binders","Office Supplies",Binders,"Wilson Jones International Size A4 Ring Binders"
"Office Supplies_Art_BIC Brite Liner Highlighters","Office Supplies",Art,"BIC Brite Liner Highlighters"
"Technology_Machines_Lexmark MX611dhe Monochrome Laser Printer",Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer"
"Office Supplies_Storage_Space Solutions HD Industrial Steel Shelving.","Office Supplies",Storage,"Space Solutions HD Industrial Steel Shelving."
"Furniture_Chairs_SAFCO Arco Folding Chair",Furniture,Chairs,"SAFCO Arco Folding Chair"
"Office Supplies_Art_Sanford Liquid Accent Highlighters","Office Supplies",Art,"Sanford Liquid Accent Highlighters"
"Office Supplies_Appliances_Kensington 7 Outlet MasterPiece Power Center","Office Supplies",Appliances,"Kensington 7 Outlet MasterPiece Power Center"
"Technology_Phones_JBL Micro Wireless Portable Bluetooth Speaker",Technology,Phones,"JBL Micro Wireless Portable Bluetooth Speaker"
"Office Supplies_Paper_Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11","Office Supplies",Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11"
"Office Supplies_Paper_Xerox 1913","Office Supplies",Paper,"Xerox 1913"
"Furniture_Chairs_Global Value Steno Chair, Gray",Furniture,Chairs,"Global Value Steno Chair, Gray"
"Office Supplies_Appliances_Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","Office Supplies",Appliances,"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center"
"Office Supplies_Labels_Avery 51","Office Supplies",Labels,"Avery 51"
"Office Supplies_Appliances_Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","Office Supplies",Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
"Furniture_Chairs_Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
"Office Supplies_Supplies_Acme Rosewood Handle Letter Opener","Office Supplies",Supplies,"Acme Rosewood Handle Letter Opener"
"Office Supplies_Art_Sanford Colorific Eraseable Coloring Pencils, 12 Count","Office Supplies",Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
"Office Supplies_Storage_Tenex File Box, Personal Filing Tote with Lid, Black","Office Supplies",Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
"Technology_Accessories_Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB",Technology,Accessories,"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB"
"Technology_Phones_AT&T TR1909W",Technology,Phones,"AT&T TR1909W"
"Technology_Phones_Nokia Lumia 521 (T-Mobile)",Technology,Phones,"Nokia Lumia 521 (T-Mobile)"
"Technology_Accessories_HP Standard 104 key PS/2 Keyboard",Technology,Accessories,"HP Standard 104 key PS/2 Keyboard"
"Office Supplies_Binders_Avery Poly Binder Pockets","Office Supplies",Binders,"Avery Poly Binder Pockets"
"Technology_Accessories_SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",Technology,Accessories,"SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card"
"Office Supplies_Storage_Personal Filing Tote with Lid, Black/Gray","Office Supplies",Storage,"Personal Filing Tote with Lid, Black/Gray"
"Furniture_Bookcases_Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
"Technology_Phones_I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink",Technology,Phones,"I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink"
"Office Supplies_Paper_Xerox 205","Office Supplies",Paper,"Xerox 205"
"Office Supplies_Art_4009 Highlighters by Sanford","Office Supplies",Art,"4009 Highlighters by Sanford"
"Office Supplies_Art_Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","Office Supplies",Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
"Office Supplies_Art_Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","Office Supplies",Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
"Office Supplies_Storage_Decoflex Hanging Personal Folder File","Office Supplies",Storage,"Decoflex Hanging Personal Folder File"
"Office Supplies_Binders_Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue","Office Supplies",Binders,"Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue"
"Office Supplies_Paper_Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","Office Supplies",Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
"Office Supplies_Paper_Southworth 25% Cotton Linen-Finish Paper & Envelopes","Office Supplies",Paper,"Southworth 25% Cotton Linen-Finish Paper & Envelopes"
"Furniture_Tables_BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",Furniture,Tables,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables"
"Office Supplies_Appliances_Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack","Office Supplies",Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
"Office Supplies_Appliances_Eureka Sanitaire  Commercial Upright","Office Supplies",Appliances,"Eureka Sanitaire  Commercial Upright"
"Furniture_Furnishings_Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
"Technology_Phones_Nortel Business Series Terminal T7208 Digital phone",Technology,Phones,"Nortel Business Series Terminal T7208 Digital phone"
"Office Supplies_Storage_Tennsco Lockers, Gray","Office Supplies",Storage,"Tennsco Lockers, Gray"
"Technology_Phones_Panasonic KX-TG6844B Expandable Digital Cordless Telephone",Technology,Phones,"Panasonic KX-TG6844B Expandable Digital Cordless Telephone"
"Office Supplies_Fasteners_Advantus Push Pins, Aluminum Head","Office Supplies",Fasteners,"Advantus Push Pins, Aluminum Head"
"Office Supplies_Storage_Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","Office Supplies",Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
"Technology_Accessories_Memorex Micro Travel Drive 8 GB",Technology,Accessories,"Memorex Micro Travel Drive 8 GB"
"Office Supplies_Labels_Avery 505","Office Supplies",Labels,"Avery 505"
"Furniture_Bookcases_O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",Furniture,Bookcases,"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine"
"Technology_Machines_Cisco 9971 IP Video Phone Charcoal",Technology,Machines,"Cisco 9971 IP Video Phone Charcoal"
"Technology_Accessories_Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",Technology,Accessories,"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive"
"Technology_Phones_Adtran 1202752G1",Technology,Phones,"Adtran 1202752G1"
